source svr - user1,dest svr - user1,proportion migration,Mbps - user1,mig path - user1,source svr - user2,dest svr - user2,proportion migration,Mbps - user2,mig path - user2,source svr - user3,dest svr - user3,proportion migration,Mbps - user3,mig path - user3,source svr - user4,dest svr - user4,proportion migration,Mbps - user4,mig path - user4,source svr - user5,dest svr - user5,proportion migration,Mbps - user5,mig path - user5,source svr - user6,dest svr - user6,proportion migration,Mbps - user6,mig path - user6,source svr - user7,dest svr - user7,proportion migration,Mbps - user7,mig path - user7,source svr - user8,dest svr - user8,proportion migration,Mbps - user8,mig path - user8,source svr - user9,dest svr - user9,proportion migration,Mbps - user9,mig path - user9,source svr - user10,dest svr - user10,proportion migration,Mbps - user10,mig path - user10,source svr - user11,dest svr - user11,proportion migration,Mbps - user11,mig path - user11,source svr - user12,dest svr - user12,proportion migration,Mbps - user12,mig path - user12,source svr - user13,dest svr - user13,proportion migration,Mbps - user13,mig path - user13,source svr - user14,dest svr - user14,proportion migration,Mbps - user14,mig path - user14,source svr - user15,dest svr - user15,proportion migration,Mbps - user15,mig path - user15,source svr - user16,dest svr - user16,proportion migration,Mbps - user16,mig path - user16,source svr - user17,dest svr - user17,proportion migration,Mbps - user17,mig path - user17,source svr - user18,dest svr - user18,proportion migration,Mbps - user18,mig path - user18,source svr - user19,dest svr - user19,proportion migration,Mbps - user19,mig path - user19,source svr - user20,dest svr - user20,proportion migration,Mbps - user20,mig path - user20
3,3,0,0.0,0,7,7,0,0.0,0,4,4,0,0.0,0,7,7,0,0.0,0,6,6,0,0.0,0,7,7,0,0.0,0,6,6,0,0.0,0,4,4,0,0.0,0,5,5,0,0.0,0,7,7,0,0.0,0,7,7,0,0.0,0,6,6,0,0.0,0,1,1,0,0.0,0,8,8,0,0.0,0,3,3,0,0.0,0,7,7,0,0.0,0,8,8,0,0.0,0,5,5,0,0.0,0,1,1,0,0.0,0,0,0,0,0.0,0
3,3,0,0.0,0,7,7,0,0.0,0,4,4,0,0.0,0,7,7,0,0.0,0,6,6,0,0.0,0,7,7,0,0.0,0,6,6,0,0.0,0,4,4,0,0.0,0,5,5,0,0.0,0,7,7,0,0.0,0,7,7,0,0.0,0,6,6,0,0.0,0,1,1,0,0.0,0,8,8,0,0.0,0,3,3,0,0.0,0,7,7,0,0.0,0,8,8,0,0.0,0,5,5,0,0.0,0,1,1,0,0.0,0,0,0,0,0.0,0
3,3,0,0.0,0,7,7,0,0.0,0,4,4,0,0.0,0,7,7,0,0.0,0,6,6,0,0.0,0,7,7,0,0.0,0,6,6,0,0.0,0,4,4,0,0.0,0,5,5,0,0.0,0,7,7,0,0.0,0,7,7,0,0.0,0,6,6,0,0.0,0,1,1,0,0.0,0,8,8,0,0.0,0,3,3,0,0.0,0,7,7,0,0.0,0,8,8,0,0.0,0,5,5,0,0.0,0,1,1,0,0.0,0,0,0,0,0.0,0
3,3,0,0.0,0,7,7,0,0.0,0,4,4,0,0.0,0,7,7,0,0.0,0,6,6,0,0.0,0,7,7,0,0.0,0,6,6,0,0.0,0,4,4,0,0.0,0,5,5,0,0.0,0,7,7,0,0.0,0,7,7,0,0.0,0,6,6,0,0.0,0,1,1,0,0.0,0,8,8,0,0.0,0,3,3,0,0.0,0,7,7,0,0.0,0,8,8,0,0.0,0,5,5,0,0.0,0,1,1,0,0.0,0,0,0,0,0.0,0
3,3,0,0.0,0,7,7,0,0.0,0,4,4,0,0.0,0,7,7,0,0.0,0,6,6,0,0.0,0,7,7,0,0.0,0,6,6,0,0.0,0,4,4,0,0.0,0,5,5,0,0.0,0,7,7,0,0.0,0,7,7,0,0.0,0,6,6,0,0.0,0,1,1,0,0.0,0,8,8,0,0.0,0,3,3,0,0.0,0,7,7,0,0.0,0,8,8,0,0.0,0,5,5,0,0.0,0,1,1,0,0.0,0,0,0,0,0.0,0
3,3,0,0.0,0,7,7,0,0.0,0,4,4,0,0.0,0,7,7,0,0.0,0,6,6,0,0.0,0,7,7,0,0.0,0,6,6,0,0.0,0,4,4,0,0.0,0,5,5,0,0.0,0,7,7,0,0.0,0,7,7,0,0.0,0,6,6,0,0.0,0,1,1,0,0.0,0,8,8,0,0.0,0,3,3,0,0.0,0,7,7,0,0.0,0,8,8,0,0.0,0,5,5,0,0.0,0,1,1,0,0.0,0,0,0,0,0.0,0
3,3,0,0.0,0,7,7,0,0.0,0,4,4,0,0.0,0,7,7,0,0.0,0,6,6,0,0.0,0,7,7,0,0.0,0,6,6,0,0.0,0,4,4,0,0.0,0,5,5,0,0.0,0,7,7,0,0.0,0,7,7,0,0.0,0,6,6,0,0.0,0,1,1,0,0.0,0,8,8,0,0.0,0,3,3,0,0.0,0,7,7,0,0.0,0,8,8,0,0.0,0,5,5,0,0.0,0,1,1,0,0.0,0,0,0,0,0.0,0
3,3,0,0.0,0,7,7,0,0.0,0,4,4,0,0.0,0,7,7,0,0.0,0,6,6,0,0.0,0,7,7,0,0.0,0,6,6,0,0.0,0,4,4,0,0.0,0,5,5,0,0.0,0,7,7,0,0.0,0,7,7,0,0.0,0,6,6,0,0.0,0,1,1,0,0.0,0,8,8,0,0.0,0,3,3,0,0.0,0,7,7,0,0.0,0,8,8,0,0.0,0,5,5,0,0.0,0,1,1,0,0.0,0,0,0,0,0.0,0
3,3,0,0.0,0,7,7,0,0.0,0,4,4,0,0.0,0,7,7,0,0.0,0,6,6,0,0.0,0,7,7,0,0.0,0,6,6,0,0.0,0,4,4,0,0.0,0,5,5,0,0.0,0,7,7,0,0.0,0,7,7,0,0.0,0,6,6,0,0.0,0,1,1,0,0.0,0,8,8,0,0.0,0,3,3,0,0.0,0,7,7,0,0.0,0,8,8,0,0.0,0,5,5,0,0.0,0,1,1,0,0.0,0,0,0,0,0.0,0
3,3,0,0.0,0,7,7,0,0.0,0,4,4,0,0.0,0,7,7,0,0.0,0,6,6,0,0.0,0,7,7,0,0.0,0,6,6,0,0.0,0,4,4,0,0.0,0,5,5,0,0.0,0,7,7,0,0.0,0,7,7,0,0.0,0,6,6,0,0.0,0,1,1,0,0.0,0,8,8,0,0.0,0,3,3,0,0.0,0,7,7,0,0.0,0,8,8,0,0.0,0,5,5,0,0.0,0,1,1,0,0.0,0,0,0,0,0.0,0
